X,Y
1182,1639
1181,1639
1181,1640
1179,1640
1179,1641
1177,1641
1177,1642
1176,1642
1176,1643
1174,1643
1174,1644
1172,1644
1172,1645
1171,1645
1171,1646
1168,1646
1168,1647
1167,1647
1167,1648
1166,1648
1166,1649
1164,1649
1164,1650
1162,1650
1162,1651
1160,1651
1160,1652
1157,1652
1157,1653
1156,1653
1156,1654
1155,1654
1155,1655
1152,1655
1152,1657
1154,1657
1154,1658
1153,1658
1153,1659
1151,1659
1151,1660
1149,1660
1149,1661
1147,1661
1147,1662
1145,1662
1145,1663
1143,1663
1143,1664
1141,1664
1141,1665
1139,1665
1139,1666
1137,1666
1137,1667
1134,1667
1134,1668
1130,1668
1130,1669
1128,1669
1128,1668
1126,1668
1126,1667
1123,1667
1123,1666
1122,1666
1122,1665
1121,1665
1121,1664
1122,1664
1122,1663
1123,1663
1123,1661
1124,1661
1124,1659
1119,1659
1119,1658
1118,1658
1118,1656
1117,1656
1117,1660
1116,1660
1116,1658
1115,1658
1115,1657
1114,1657
1114,1659
1115,1659
1115,1662
1116,1662
1116,1665
1117,1665
1117,1666
1118,1666
1118,1671
1119,1671
1119,1672
1117,1672
1117,1671
1116,1671
1116,1669
1115,1669
1115,1668
1114,1668
1114,1667
1113,1667
1113,1664
1112,1664
1112,1662
1110,1662
1110,1664
1111,1664
1111,1665
1110,1665
1110,1667
1109,1667
1109,1670
1108,1670
1108,1671
1105,1671
1105,1673
1104,1673
1104,1672
1103,1672
1103,1674
1102,1674
1102,1675
1101,1675
1101,1676
1100,1676
1100,1678
1098,1678
1098,1679
1097,1679
1097,1680
1095,1680
1095,1679
1093,1679
1093,1682
1092,1682
1092,1683
1090,1683
1090,1684
1088,1684
1088,1686
1087,1686
1087,1687
1086,1687
1086,1688
1084,1688
1084,1689
1083,1689
1083,1690
1082,1690
1082,1691
1079,1691
1079,1692
1078,1692
1078,1693
1076,1693
1076,1694
1075,1694
1075,1695
1071,1695
1071,1696
1068,1696
1068,1697
1064,1697
1064,1698
1061,1698
1061,1699
1059,1699
1059,1700
1054,1700
1054,1701
1051,1701
1051,1702
1038,1702
1038,1703
1027,1703
1027,1704
1024,1704
1024,1705
1016,1705
1016,1704
1014,1704
1014,1705
1011,1705
1011,1704
1006,1704
1006,1705
1008,1705
1008,1706
1010,1706
1010,1707
1011,1707
1011,1708
1010,1708
1010,1709
1006,1709
1006,1710
1002,1710
1002,1711
998,1711
998,1712
984,1712
984,1713
979,1713
979,1714
949,1714
949,1713
947,1713
947,1712
948,1712
948,1711
953,1711
953,1710
958,1710
958,1709
957,1709
957,1708
956,1708
956,1709
952,1709
952,1708
936,1708
936,1707
934,1707
934,1708
931,1708
931,1707
928,1707
928,1706
924,1706
924,1705
922,1705
922,1704
920,1704
920,1703
918,1703
918,1702
916,1702
916,1701
912,1701
912,1700
910,1700
910,1704
911,1704
911,1705
910,1705
910,1707
909,1707
909,1708
905,1708
905,1706
904,1706
904,1705
903,1705
903,1704
901,1704
901,1703
899,1703
899,1702
897,1702
897,1701
894,1701
894,1700
892,1700
892,1699
889,1699
889,1698
887,1698
887,1697
885,1697
885,1696
884,1696
884,1695
882,1695
882,1694
881,1694
881,1693
879,1693
879,1692
878,1692
878,1691
876,1691
876,1690
875,1690
875,1689
869,1689
869,1688
863,1688
863,1687
858,1687
858,1686
853,1686
853,1685
848,1685
848,1684
845,1684
845,1683
842,1683
842,1682
840,1682
840,1681
837,1681
837,1680
835,1680
835,1679
833,1679
833,1678
832,1678
832,1677
831,1677
831,1676
830,1676
830,1675
828,1675
828,1676
824,1676
824,1677
822,1677
822,1678
820,1678
820,1680
819,1680
819,1681
818,1681
818,1682
817,1682
817,1683
816,1683
816,1684
815,1684
815,1683
814,1683
814,1677
812,1677
812,1678
798,1678
798,1677
795,1677
795,1676
793,1676
793,1675
790,1675
790,1674
786,1674
786,1673
784,1673
784,1672
781,1672
781,1671
779,1671
779,1670
778,1670
778,1669
777,1669
777,1668
776,1668
776,1667
774,1667
774,1666
773,1666
773,1665
772,1665
772,1664
770,1664
770,1663
769,1663
769,1662
768,1662
768,1661
766,1661
766,1660
765,1660
765,1659
763,1659
763,1658
762,1658
762,1657
761,1657
761,1656
759,1656
759,1655
758,1655
758,1654
757,1654
757,1653
755,1653
755,1652
754,1652
754,1651
752,1651
752,1650
751,1650
751,1649
750,1649
750,1648
749,1648
749,1647
748,1647
748,1646
746,1646
746,1645
745,1645
745,1644
744,1644
744,1643
742,1643
742,1642
741,1642
741,1641
740,1641
740,1640
739,1640
739,1639
738,1639
738,1638
737,1638
737,1637
736,1637
736,1636
735,1636
735,1635
734,1635
734,1634
732,1634
732,1633
731,1633
731,1632
730,1632
730,1631
728,1631
728,1630
726,1630
726,1628
724,1628
724,1627
723,1627
723,1626
721,1626
721,1625
720,1625
720,1624
719,1624
719,1623
718,1623
718,1622
717,1622
717,1621
715,1621
715,1620
714,1620
714,1619
713,1619
713,1618
712,1618
712,1617
711,1617
711,1616
710,1616
710,1615
709,1615
709,1614
708,1614
708,1613
707,1613
707,1612
706,1612
