X,Y
1481,1403
1480,1403
1480,1404
1478,1404
1478,1405
1477,1405
1477,1407
1476,1407
1476,1409
1475,1409
1475,1410
1473,1410
1473,1411
1471,1411
1471,1413
1470,1413
1470,1414
1469,1414
1469,1415
1468,1415
1468,1416
1463,1416
1463,1417
1460,1417
1460,1416
1458,1416
1458,1415
1457,1415
1457,1414
1452,1414
1452,1415
1449,1415
1449,1417
1448,1417
1448,1418
1447,1418
1447,1419
1446,1419
1446,1420
1444,1420
1444,1421
1443,1421
1443,1429
1442,1429
1442,1431
1441,1431
1441,1433
1440,1433
1440,1434
1439,1434
1439,1435
1437,1435
1437,1436
1435,1436
1435,1437
1433,1437
1433,1438
1431,1438
1431,1439
1428,1439
1428,1440
1426,1440
1426,1439
1423,1439
1423,1440
1422,1440
1422,1441
1416,1441
1416,1440
1402,1440
1402,1444
1401,1444
1401,1446
1400,1446
1400,1447
1397,1447
1397,1446
1395,1446
1395,1445
1390,1445
1390,1447
1385,1447
1385,1446
1383,1446
1383,1445
1381,1445
1381,1444
1378,1444
1378,1443
1376,1443
1376,1442
1374,1442
1374,1441
1372,1441
1372,1440
1369,1440
1369,1439
1363,1439
1363,1438
1361,1438
1361,1437
1360,1437
1360,1436
1359,1436
1359,1435
1357,1435
1357,1434
1354,1434
1354,1433
1351,1433
1351,1432
1347,1432
1347,1431
1343,1431
1343,1430
1341,1430
1341,1429
1339,1429
1339,1428
1338,1428
1338,1426
1337,1426
1337,1425
1335,1425
1335,1424
1334,1424
1334,1423
1333,1423
1333,1422
1332,1422
1332,1420
1331,1420
1331,1419
1330,1419
1330,1418
1327,1418
1327,1417
1325,1417
1325,1416
1323,1416
1323,1415
1322,1415
1322,1414
1321,1414
1321,1413
1320,1413
1320,1412
1319,1412
1319,1411
1318,1411
1318,1410
1317,1410
1317,1408
1316,1408
1316,1407
1315,1407
1315,1406
1314,1406
1314,1404
1313,1404
1313,1403
1312,1403
1312,1402
1310,1402
1310,1401
1308,1401
1308,1400
1306,1400
1306,1398
1305,1398
1305,1396
1304,1396
1304,1395
1303,1395
1303,1394
1302,1394
1302,1391
1294,1391
1294,1390
1285,1390
1285,1389
1283,1389
1283,1387
1282,1387
1282,1384
1281,1384
1281,1383
1280,1383
1280,1381
1281,1381
1281,1379
1280,1379
1280,1377
1279,1377
1279,1373
1278,1373
1278,1372
1270,1372
1270,1373
1269,1373
1269,1375
1268,1375
1268,1378
1269,1378
1269,1380
1270,1380
1270,1381
1269,1381
1269,1383
1267,1383
1267,1384
1266,1384
1266,1385
1265,1385
1265,1386
1264,1386
1264,1387
1262,1387
1262,1388
1260,1388
1260,1389
1259,1389
1259,1390
1256,1390
1256,1391
1251,1391
1251,1390
1250,1390
1250,1389
1249,1389
1249,1388
1245,1388
1245,1389
1241,1389
1241,1388
1239,1388
1239,1387
1238,1387
1238,1386
1237,1386
1237,1385
1233,1385
1233,1386
1231,1386
1231,1387
1230,1387
1230,1389
1231,1389
1231,1390
1232,1390
1232,1391
1233,1391
1233,1392
1234,1392
1234,1393
1235,1393
1235,1396
1236,1396
1236,1398
1237,1398
1237,1400
1236,1400
1236,1403
1235,1403
1235,1406
1234,1406
1234,1408
1233,1408
1233,1412
1232,1412
1232,1415
1231,1415
1231,1432
1230,1432
1230,1435
1229,1435
1229,1442
1228,1442
1228,1445
1229,1445
1229,1446
1228,1446
1228,1447
1227,1447
1227,1449
1228,1449
1228,1450
1229,1450
1229,1451
1230,1451
1230,1455
1229,1455
1229,1459
1228,1459
1228,1460
1227,1460
1227,1462
1226,1462
1226,1463
1225,1463
1225,1464
1224,1464
1224,1468
1223,1468
1223,1471
1222,1471
1222,1473
1221,1473
1221,1475
1220,1475
1220,1479
1219,1479
1219,1481
1218,1481
1218,1483
1217,1483
1217,1486
1216,1486
1216,1491
1215,1491
1215,1492
1214,1492
1214,1498
1212,1498
1212,1499
1211,1499
1211,1503
1210,1503
1210,1504
1209,1504
1209,1505
1208,1505
1208,1507
1207,1507
1207,1508
1206,1508
1206,1511
1205,1511
1205,1512
1204,1512
1204,1513
1203,1513
1203,1516
1202,1516
1202,1519
1201,1519
1201,1522
1200,1522
1200,1524
1199,1524
1199,1526
1198,1526
1198,1528
1197,1528
1197,1530
1196,1530
1196,1531
1195,1531
1195,1532
1194,1532
1194,1534
1193,1534
1193,1535
1192,1535
1192,1536
1190,1536
1190,1537
1187,1537
1187,1538
1182,1538
1182,1537
1179,1537
1179,1538
1178,1538
1178,1539
1176,1539
1176,1540
1173,1540
1173,1541
1171,1541
1171,1542
1170,1542
1170,1543
1168,1543
1168,1544
1166,1544
1166,1545
1165,1545
1165,1546
1164,1546
1164,1547
1161,1547
1161,1548
1160,1548
1160,1549
1159,1549
1159,1550
1158,1550
1158,1551
1157,1551
1157,1553
1155,1553
1155,1552
1154,1552
1154,1551
1150,1551
1150,1552
1149,1552
1149,1558
1148,1558
1148,1563
1147,1563
1147,1566
1148,1566
1148,1572
1150,1572
1150,1573
1152,1573
1152,1574
1153,1574
1153,1575
1154,1575
1154,1574
1155,1574
1155,1572
1156,1572
1156,1571
1158,1571
1158,1570
1159,1570
1159,1568
1160,1568
1160,1567
1161,1567
1161,1565
1162,1565
1162,1563
1163,1563
1163,1561
